song,scene,duration,confidence,loudness,tempo,tempo_confidence,key,key_confidence,mode,mode_confidence,time_signature,time_signature_confidence,name,type,active_lights,colors,avg_brightness,avg_strobe,uses_mfft,uses_time,uses_bool,active_light_types,dominant_color
Lady - Hear Me Tonight,pink_pulse,18.56852,0.569,-5.387,126.116,0.726,11,0.085,1,0.561,4,1.0,pink_pulse,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']",{'pink': 8},85.0,0.0,True,False,True,"{'rgb': 8, 'dimmer': 4, 'strobe': 1}",pink
Lady - Hear Me Tonight,pink_pulse,10.94871,0.39,-5.176,126.197,0.758,1,0.411,1,0.369,4,1.0,pink_pulse,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']",{'pink': 8},85.0,0.0,True,False,True,"{'rgb': 8, 'dimmer': 4, 'strobe': 1}",pink
Lady - Hear Me Tonight,chill_pink,14.75173,0.595,-4.461,126.108,0.672,11,0.51,1,0.441,4,1.0,chill_pink,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'rgb1', 'rgb6']",{'pink': 8},55.0,0.0,True,False,False,{'rgb': 8},pink
Lady - Hear Me Tonight,chill_pink,8.10098,0.042,-3.867,126.019,0.661,11,0.205,1,0.566,4,1.0,chill_pink,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'rgb1', 'rgb6']",{'pink': 8},55.0,0.0,True,False,False,{'rgb': 8},pink
Lady - Hear Me Tonight,chill_pink,8.57153,0.082,-4.511,126.064,0.568,7,0.0,1,0.0,4,1.0,chill_pink,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'rgb1', 'rgb6']",{'pink': 8},55.0,0.0,True,False,False,{'rgb': 8},pink
Lady - Hear Me Tonight,pink_pulse,28.09261,0.573,-5.348,126.099,0.728,10,0.586,0,0.686,4,1.0,pink_pulse,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']",{'pink': 8},85.0,0.0,True,False,True,"{'rgb': 8, 'dimmer': 4, 'strobe': 1}",pink
Lady - Hear Me Tonight,pink_pulse,16.66209,0.765,-6.521,126.082,0.857,6,0.114,1,0.491,4,1.0,pink_pulse,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']",{'pink': 8},85.0,0.0,True,False,True,"{'rgb': 8, 'dimmer': 4, 'strobe': 1}",pink
Lady - Hear Me Tonight,red_pulse,18.08491,0.332,-6.372,126.09,0.764,6,0.079,1,0.0,4,1.0,red_pulse,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']",{'red': 8},85.0,0.0,True,False,True,"{'rgb': 8, 'dimmer': 4, 'strobe': 1}",red
Lady - Hear Me Tonight,chill_pink,24.76146,0.766,-8.54,126.117,0.584,6,0.09,0,0.416,4,1.0,chill_pink,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'rgb1', 'rgb6']",{'pink': 8},55.0,0.0,True,False,False,{'rgb': 8},pink
Lady - Hear Me Tonight,discovibe,73.32637,0.572,-4.946,126.007,0.607,6,0.558,1,0.544,4,1.0,discovibe,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'rgb1', 'rgb6', 'discoball', 'ropes']","{'blue': 4, 'pink': 4}",70.0,0.1111111111111111,True,True,True,"{'dimmer': 2, 'rgb': 8, 'strobe': 1}",blue
